,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
James Harden,HOU,30,8,5,3,35.3,36.5,9.3,23.9,38.7,3.8,13.9,27.0,14.3,15.8,90.5,1.3,3.8,5.0,8.1,5.8,1.3,0.8,3.3,54.9,3,0,0.9
Kyrie Irving,BKN,27,7,3,4,33.8,31.7,10.7,22.7,47.2,3.3,8.6,38.3,7.0,7.6,92.5,0.9,5.3,6.1,7.7,2.9,1.3,0.6,2.7,53.4,2,1,4.4
Damian Lillard,POR,29,7,3,4,37.7,31.1,10.6,21.4,49.3,3.9,9.6,40.3,6.1,6.9,89.6,0.4,4.6,5.0,7.3,2.6,1.3,0.6,2.3,51.1,1,0,4.6
Kawhi Leonard,LAC,28,6,5,1,30.5,29.3,10.7,22.5,47.4,1.8,5.2,35.5,6.2,7.2,86.0,1.5,5.8,7.3,5.7,3.0,2.3,1.0,2.7,53.6,2,0,11.7
Giannis Antetokounmpo,MIL,24,8,6,2,32.2,29.0,10.5,17.8,59.2,1.0,3.8,26.7,7.0,11.0,63.6,2.1,12.1,14.3,7.6,4.0,1.3,1.6,4.1,62.2,8,1,10.4
Bradley Beal,WAS,26,7,2,5,35.3,27.0,9.1,22.4,40.8,2.7,9.4,28.8,6.0,7.4,80.8,1.3,3.4,4.7,6.1,3.9,1.3,0.3,2.7,42.7,1,0,-6.6
Karl-Anthony Towns,MIN,23,5,3,2,31.5,26.8,9.0,17.4,51.7,4.2,9.0,46.7,4.6,6.6,69.7,2.2,9.6,11.8,3.6,2.6,2.0,1.8,3.0,55.2,4,0,1.0
Luka Doncic,DAL,20,7,5,2,35.8,26.7,8.9,19.0,46.6,2.9,8.7,32.8,6.1,7.6,81.1,1.7,8.1,9.9,9.1,4.9,1.3,0.1,2.6,51.7,4,3,2.4
Anthony Davis,LAL,26,7,6,1,34.7,26.6,9.0,19.6,46.0,0.7,2.9,25.0,7.9,8.9,88.7,2.9,8.0,10.9,2.7,3.0,1.0,3.0,2.7,52.7,3,0,6.7
Devin Booker,PHX,23,7,5,2,34.4,26.1,9.7,18.1,53.5,2.7,5.4,50.0,4.0,4.4,90.3,0.3,3.3,3.6,5.0,3.4,0.4,0.4,4.3,37.1,1,0,7.7
LeBron James,LAL,34,7,6,1,35.0,26.1,9.3,19.3,48.1,1.6,5.4,28.9,6.0,7.7,77.8,0.7,7.6,8.3,11.1,3.9,1.6,0.7,1.9,55.8,6,3,10.7
Kemba Walker,BOS,29,6,5,1,34.7,26.0,7.7,19.0,40.4,3.8,9.0,42.6,6.8,7.5,91.1,1.7,4.0,5.7,3.7,2.5,1.0,0.7,2.2,40.8,0,0,2.7
Brandon Ingram,NOP,22,7,1,6,31.7,25.9,9.9,17.9,55.2,2.4,5.0,48.6,3.7,5.0,74.3,1.0,6.1,7.1,4.3,2.6,0.7,1.0,2.6,43.4,2,0,-6.4
Pascal Siakam,TOR,25,7,5,2,33.9,25.6,9.4,18.9,50.0,2.0,5.1,38.9,4.7,5.0,94.3,1.7,7.4,9.1,3.6,3.1,0.9,0.1,4.0,41.8,2,0,9.7
Donovan Mitchell,UTA,23,8,5,3,34.1,25.5,9.5,18.8,50.7,1.6,3.9,41.9,4.9,6.5,75.0,1.3,3.5,4.8,3.9,1.8,1.9,0.1,2.9,41.3,1,0,6.6
Joel Embiid,PHI,25,4,3,1,28.0,24.3,7.3,15.8,46.0,1.3,4.0,31.3,8.5,10.0,85.0,3.0,8.8,11.8,3.3,2.8,1.0,1.8,4.3,48.7,3,0,9.8
Trae Young,ATL,21,6,3,3,29.6,24.2,8.2,17.7,46.2,3.2,7.7,41.3,4.7,5.8,80.0,0.3,3.8,4.2,7.5,4.5,1.0,0.0,1.2,38.9,1,0,2.3
Kyle Lowry,TOR,33,7,5,2,39.0,24.0,7.4,15.4,48.1,3.9,9.0,42.9,5.3,6.0,88.1,0.3,4.3,4.6,6.7,3.7,1.1,0.4,3.3,40.6,0,0,2.3
Andrew Wiggins,MIN,24,7,4,3,32.7,22.4,8.4,18.9,44.7,2.3,6.7,34.0,3.3,4.4,74.2,1.6,3.1,4.7,2.3,1.7,0.6,0.9,2.4,34.1,0,0,-4.0
Malcolm Brogdon,IND,26,8,4,4,34.5,22.3,7.6,16.4,46.6,1.6,5.1,31.7,5.4,5.5,97.7,0.8,4.3,5.0,9.9,3.0,1.1,0.4,2.5,44.6,5,0,4.4
Shai Gilgeous-Alexander,OKC,21,7,3,4,35.1,22.1,8.0,16.6,48.3,2.0,4.9,41.2,4.1,5.9,70.7,1.0,5.6,6.6,3.1,1.7,0.7,1.0,1.4,38.2,0,0,4.6
